0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1.454358,-2.791186,0.733525,0.116706,-0.099248,-0.741016,0.653777,-0.150179,-0.16543,0.396547,0.322235,-0.198074,-0.067112,-0.432449,-0.413395,-0.25974,0.886305,-0.608564,-0.001678,-0.112196,0.547838,0.810267,1.303231,-0.616283,-1.858113,-0.018786
1.454333,-2.791425,0.733451,0.116824,-0.099173,-0.740918,0.653879,-0.150611,-0.16532,0.396348,0.323289,-0.198878,-0.067209,-0.432591,-0.413688,-0.259966,0.887003,-0.609165,-0.001641,-0.112168,0.54751,0.81123,1.302327,-0.616488,-1.859159,-0.019736
1.454285,-2.791682,0.733357,0.116996,-0.099154,-0.740843,0.653936,-0.15097,-0.165338,0.396264,0.324255,-0.199666,-0.067344,-0.432895,-0.414098,-0.259999,0.887939,-0.609898,-0.001615,-0.112261,0.547392,0.812032,1.3022,-0.616396,-1.860891,-0.019441
1.454226,-2.791986,0.733259,0.117124,-0.099256,-0.740812,0.653932,-0.150991,-0.165457,0.396309,0.325163,-0.200368,-0.067502,-0.43302,-0.414611,-0.259863,0.889023,-0.610746,-0.001553,-0.112242,0.547041,0.812379,1.30239,-0.616749,-1.862425,-0.018453
1.454171,-2.792333,0.733158,0.117199,-0.099434,-0.740802,0.653904,-0.150774,-0.165636,0.396377,0.326044,-0.201075,-0.067678,-0.432969,-0.415184,-0.259678,0.890177,-0.611671,-0.001428,-0.112061,0.546178,0.812653,1.302773,-0.617521,-1.863506,-0.017246
1.454115,-2.792696,0.733051,0.117312,-0.099667,-0.740777,0.653876,-0.150557,-0.165936,0.396447,0.327001,-0.2018,-0.067864,-0.432924,-0.415921,-0.259459,0.891431,-0.612666,-0.001258,-0.111721,0.544933,0.812952,1.303101,-0.618005,-1.86461,-0.016399
1.454067,-2.793066,0.732933,0.117426,-0.099988,-0.740733,0.653856,-0.150271,-0.166349,0.396586,0.328059,-0.202559,-0.068017,-0.432826,-0.416848,-0.259214,0.892843,-0.61375,-0.001036,-0.111113,0.543732,0.813139,1.303064,-0.619115,-1.865813,-0.015173
1.454016,-2.793458,0.732811,0.117591,-0.100263,-0.740713,0.653807,-0.150112,-0.166752,0.396705,0.329183,-0.203358,-0.068226,-0.432866,-0.417739,-0.258876,0.894285,-0.614863,-0.000787,-0.110471,0.543169,0.813194,1.302776,-0.620524,-1.867036,-0.013613
1.453975,-2.793856,0.732686,0.117824,-0.10051,-0.74071,0.65373,-0.15011,-0.167215,0.39681,0.33035,-0.204162,-0.068478,-0.433128,-0.418656,-0.258389,0.895774,-0.615978,-0.00051,-0.10989,0.543844,0.813165,1.302166,-0.62207,-1.868444,-0.011689
1.453966,-2.794261,0.732557,0.118063,-0.100766,-0.740688,0.653673,-0.150122,-0.167716,0.397004,0.331596,-0.205022,-0.068652,-0.433411,-0.419664,-0.257895,0.897326,-0.617115,-0.000169,-0.109335,0.544679,0.812831,1.301504,-0.623468,-1.8699,-0.00952
